Travel and Transportation,zip line,exhilarating,scary
Weather and Climate,El Niño,warming,disruptive
Weather and Climate,La Niña,cooling,crop-affecting
Weather and Climate,acid rain,pH-altering,corrosive
Weather and Climate,air mass,large,stagnant
Weather and Climate,air mass,uniform,mixed
Weather and Climate,air quality,good,poor
Weather and Climate,anemometer,measuring,specialized
Weather and Climate,atmosphere,protective,polluted
Weather and Climate,atmosphere,stable,turbulent
Weather and Climate,aurora,spectacular,unpredictable
Weather and Climate,autumn,colorful,dreary
Weather and Climate,avalanche,powerful,deadly
Weather and Climate,barometer,rising,falling
Weather and Climate,barometer,sensitive,fluctuating
Weather and Climate,blizzard,cozy,raining
Weather and Climate,blizzard,impressive,paralyzing
Weather and Climate,carbon footprint,measurable,increasing
Weather and Climate,climate,stable,changing
Weather and Climate,climate change,significant,controversial
Weather and Climate,climate change,studied,denied
Weather and Climate,climate model,predictive,uncertain
Weather and Climate,cloud,fluffy,gloomy
Weather and Climate,cloud,scattered,overcast
Weather and Climate,cold,crisp,freezing
Weather and Climate,condensation,water-forming,visibility-reducing
Weather and Climate,conduction,direct transfer,inefficient
Weather and Climate,convection,heat-transferring,turbulent
Weather and Climate,cyclone,intense,ravaging
Weather and Climate,deforestation,cleared,devastating
Weather and Climate,desertification,expanding,threatening
Weather and Climate,dew point,condensing,uncomfortable
Weather and Climate,drought,dry,parching
Weather and Climate,drought,water-saving,devastating
Weather and Climate,earthquake,moving,devastating
Weather and Climate,emission,released,polluting
Weather and Climate,equinox,balanced,unremarkable
Weather and Climate,erosion,natural,destructive
Weather and Climate,evaporation,cooling,drying
Weather and Climate,exosphere,outermost,tenuous
Weather and Climate,flood,cleansing,devastating
Weather and Climate,flood,flowing,destructive
Weather and Climate,fog,mysterious,hazardous
Weather and Climate,forecast,accurate,inaccurate
Weather and Climate,forecast,informative,inaccurate
Weather and Climate,front,boundary,unstable
Weather and Climate,front (weather),passing,stalled
Weather and Climate,frost,glistening,damaging
Weather and Climate,glacier,massive,retreating
Weather and Climate,global warming,concerning,politicized
Weather and Climate,global warming,gradual,accelerated
Weather and Climate,greenhouse effect,natural,enhanced
Weather and Climate,greenhouse effect,warming,intensifying
Weather and Climate,gulf stream,warming,slowing
Weather and Climate,hail,interesting,damaging
Weather and Climate,hail,interesting,uninteresting
Weather and Climate,heat,warm,sweltering
Weather and Climate,heat index,perceived heat,stressful
Weather and Climate,high pressure,clear,drought-inducing
Weather and Climate,humidity,comfortable,muggy
Weather and Climate,humidity,comfortable,stifling
Weather and Climate,humidity,moist,sticky
Weather and Climate,hurricane,awe-inspiring,catastrophic
Weather and Climate,hurricane,powerful,catastrophic
Weather and Climate,hygrometer,calibrated,uncalibrated
Weather and Climate,hygrometer,precise,complex
Weather and Climate,ice,glistening,treacherous
Weather and Climate,ionosphere,radio-reflecting,disturbed
Weather and Climate,isobar,equal pressure,complex
Weather and Climate,isotherm,equal temperature,varying
Weather and Climate,jet stream,fast-flowing,shifting
Weather and Climate,jet stream,stable,wavy
Weather and Climate,low pressure,cloudy,stormy
Weather and Climate,magnetosphere,protective,vulnerable
Weather and Climate,mesosphere,middle,little-known
Weather and Climate,meteorology,precise,imprecise
Weather and Climate,meteorology,scientific,imprecise
Weather and Climate,microclimate,localized,significant
Weather and Climate,mirage,optical,deceptive
Weather and Climate,mist,ethereal,damp
Weather and Climate,monsoon,moisture-bringing,flooding
Weather and Climate,natural disaster,predicted,unexpected
Weather and Climate,ocean current,circulating,changing
Weather and Climate,ozone layer,protective,depleting
Weather and Climate,ozone layer,recovering,thinning
Weather and Climate,permafrost,frozen,thawing
Weather and Climate,polar vortex,circulating,destabilizing
Weather and Climate,pollution,regulated,toxic
Weather and Climate,precipitation,gentle,heavy
Weather and Climate,precipitation,nourishing,flooding
Weather and Climate,prediction,helpful,unreliable
Weather and Climate,pressure,stable,dropping
Weather and Climate,pressure,stable,unstable
Weather and Climate,radar,clear,interfered
Weather and Climate,radar,detecting,limited
Weather and Climate,radiation,warming,harmful
Weather and Climate,rain,refreshing,flooding
Weather and Climate,rain,refreshing,pouring
Weather and Climate,rain gauge,collecting,overflow-prone
Weather and Climate,rainbow,sunny,dark
Weather and Climate,satellite,observing,fallible
Weather and Climate,satellite (weather),high-resolution,low-resolution
Weather and Climate,sea level,rising,threatening
Weather and Climate,season,cyclic,changing
Weather and Climate,season,typical,unusual
Weather and Climate,sleet,wintry,treacherous
Weather and Climate,smog,flowing,choking
Weather and Climate,snow,picturesque,treacherous
Weather and Climate,snow,pristine,blizzard
Weather and Climate,solstice,astronomical,short day
Weather and Climate,spring,renewing,allergy-inducing
Weather and Climate,storm,brief,prolonged
Weather and Climate,storm,dramatic,destructive
Weather and Climate,storm,powerful,destructive
Weather and Climate,stratosphere,stable,ozone-depleting
Weather and Climate,sublimation,phase-changing,ice-reducing
Weather and Climate,summer,sunny,scorching
Weather and Climate,sunshine,bright,scorching
Weather and Climate,temperature,mild,extreme
Weather and Climate,temperature,moderate,extreme
Weather and Climate,thermometer,accurate,broken
Weather and Climate,thermosphere,ionized,radio-disrupting
Weather and Climate,thunder,powerful,frightening
Weather and Climate,tornado,awe-inspiring,devastating
Weather and Climate,trade winds,consistent,weakening
Weather and Climate,troposphere,weather-containing,turbulent
Weather and Climate,typhoon,impressive,deadly
Weather and Climate,visibility,clear,poor
Weather and Climate,volcanic eruption,spectacular,devastating
Weather and Climate,weather,changeable,unpredictable
Weather and Climate,weather balloon,exploratory,short-lived
Weather and Climate,weather pattern,consistent,erratic
Weather and Climate,wind,breezy,gusty
Weather and Climate,wind,calm,strong
Weather and Climate,wind,cooling,gusty
Weather and Climate,wind chill,felt temperature,dangerous
Weather and Climate,winter,snowy,harsh
